code,cityName,lon,lat,hgt,area,pop,forest,shrubland,grassland,cropland,builtup,bares,snow,water,wetland,mangroves,moss
370900,泰安市,117.13000,36.19000,297.12000,0.78000,5464975,0.09329,0.00016,0.05380,0.60366,0.13501,0.08446,0.00000,0.02718,0.00243,0.00000,0.00000
371000,威海市,122.12000,37.51000,36.18000,0.57000,2903018,0.16137,0.00036,0.06485,0.47085,0.07294,0.12775,0.00000,0.09894,0.00294,0.00000,0.00000
371100,日照市,119.46000,35.43000,34.13000,0.53000,2966075,0.12063,0.00006,0.04371,0.58015,0.13255,0.07679,0.00000,0.04578,0.00034,0.00000,0.00000
371300,临沂市,118.33000,35.07000,66.28000,1.70000,11003922,0.09137,0.00015,0.07658,0.60093,0.14613,0.06372,0.00000,0.02062,0.00051,0.00000,0.00000
371400,德州市,116.31000,37.45000,23.10000,1.05000,5603998,0.03090,0.00081,0.00272,0.80164,0.12197,0.03490,0.00000,0.00628,0.00078,0.00000,0.00000
371500,聊城市,115.98000,36.46000,33.66000,0.87000,5946129,0.03170,0.00023,0.00268,0.75843,0.14274,0.05759,0.00000,0.00651,0.00012,0.00000,0.00000
371600,滨州市,118.02000,37.38000,10.90000,0.92000,3923157,0.02092,0.00146,0.00432,0.66515,0.12168,0.06233,0.00000,0.12183,0.00232,0.00000,0.00000
371700,菏泽市,115.47000,35.25000,52.24000,1.20000,8781530,0.04026,0.00021,0.00263,0.77329,0.11962,0.05579,0.00000,0.00730,0.00090,0.00000,0.00000
410100,郑州市,113.67000,34.76000,105.25000,0.75000,12596604,0.13290,0.00015,0.07178,0.46275,0.18317,0.13530,0.00000,0.01391,0.00005,0.00000,0.00000
410200,开封市,114.34000,34.80000,74.18000,0.61000,4819872,0.05197,0.00008,0.00285,0.76741,0.11819,0.05319,0.00000,0.00629,0.00001,0.00000,0.00000
410300,洛阳市,112.43000,34.66000,183.24000,1.49000,7051139,0.41992,0.00002,0.13939,0.31384,0.05264,0.06265,0.00000,0.01151,0.00003,0.00000,0.00000
410400,平顶山市,113.31000,33.74000,132.11000,0.77000,4982761,0.19858,0.00007,0.07568,0.54618,0.09228,0.07063,0.00000,0.01528,0.00130,0.00000,0.00000
410500,安阳市,114.35000,36.10000,80.94000,0.73000,5473434,0.08963,0.00010,0.11828,0.60440,0.13250,0.05160,0.00000,0.00349,0.00000,0.00000,0.00000
410600,鹤壁市,114.30000,35.75000,96.61000,0.21000,1564714,0.05640,0.00013,0.10364,0.63157,0.12578,0.07626,0.00000,0.00621,0.00001,0.00000,0.00000
410700,新乡市,113.88000,35.30000,69.71000,0.82000,6246982,0.07161,0.00012,0.05689,0.66954,0.12428,0.06654,0.00000,0.01100,0.00003,0.00000,0.00000
